,Username,Link,Text,Human,Date
,ridone_337,https://www.tiktok.com/@ridone_337,saya beli parfum side effect saking enak nya di pake pengharum kamar,Positif,25/02/2024
,dagosputrabenawas,https://www.tiktok.com/@dagosputrabenawas,tahan nya dua hari saya sudah beli ka maka nya saya berani bilang gitu,Positif,25/02/2024
,athar_alenxi,https://www.tiktok.com/@athar_alenxi,aku tinggal nunggu dominant semoga cocok soal nya baru coba,Netral,25/02/2024
,gustut85,https://www.tiktok.com/@gustut85,"yakin ga wangi nya tahan dua belas jam,kalau gak berani kasih Garansi gak?",Negatif,25/02/2024
,jodohmu2959,https://www.tiktok.com/@jodohmu2959,pernah make punya temen. Emang enak banget harum nya aku yang lumayan bau badan langsung wangi seketika,Positif,25/02/2024
,njr1301,https://www.tiktok.com/@njr1301,aku udah pernah beli yang proplayer wangi nya ga tahan lama cuma tiga sampai empat jam,Negatif,25/02/2024
,ujokpranata,https://www.tiktok.com/@ujokpranata,jelek kualitas nya kalau pake baju putih bernoda pake parfum ini,Negatif,25/02/2024
,ajrebellica543,https://www.tiktok.com/@ajrebellica543,Wangi nya biasa aja sih sebenar nya,Negatif,25/02/2024
,muhammadyasirsira,https://www.tiktok.com/@muhammadyasirsira,kalau saya ka saya bandingkan wangi parfum dominant sama parfum baccarat hampir sama persis,Netral,25/02/2024
,gohan_181,https://www.tiktok.com/@gohan_181,yang asli gak nih ka,Netral,25/02/2024
,bhimzueb,https://www.tiktok.com/@bhimzueb,kakak nya juga lebih tahan lama di hati aku,Positif,24/02/2024
,hilmiganteng935,https://www.tiktok.com/@hilmiganteng935,kak yang bisa menenarik cewek pake parfum apa kak hrny atau dominant,Netral,24/02/2024
,bhalink22_,https://www.tiktok.com/@bhalink22_,"percobaan pertama yang tiga puluh lima mili dulu,mana pas banget bentar lagi puasa",Netral,24/02/2024
,lennoelfriets,https://www.tiktok.com/@lennoelfriets,Parah kalau di semprot ke baju putih jadi kuning ,Negatif,24/02/2024
,ekvannata,https://www.tiktok.com/@ekvannata,berapa harga nya? ,Netral,24/02/2024
,scorpioboy669,https://www.tiktok.com/@scorpioboy669,pake alkohol ga?,Netral,24/02/2024
,mnc_petshop,https://www.tiktok.com/@mnc_petshop,gak jadi beli karena model nya jelek,Negatif,24/02/2024
,bhmasprojeck,https://www.tiktok.com/@bhmasprojeck,coba botol nya di upgrade ka kaya dominant kan beda dari yang lain,Positif,24/02/2024
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,yah baru mau beli malah abis stok nya,Negatif,24/02/2024
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,perbedaan dominant sama pro player apa yah ka,Netral,24/02/2024
,rayx_3003,https://www.tiktok.com/@rayx_3003,"mantap banget, sangat work it dengan harga segitu",Positif,24/02/2024
,mimin.mintuntilun,https://www.tiktok.com/@mimin.mintuntilun,pengemasan nya buruk banget ga ada pengaman botol nya sama sekali,Negatif,24/02/2024
,khaleed.store,https://www.tiktok.com/@khaleed.store,mantap wangi nya scentplus,Positif,24/02/2024
,keilyyypubgm,https://www.tiktok.com/@keilyyypubgm,cocok buat cewek gak?,Netral,24/02/2024
,gemoystoreofficial.id,https://www.tiktok.com/@gemoystoreofficial.id,"dua sampai tiga jam ilang wangi nya, paling lama lima jam",Negatif,24/02/2024
,nathan15085,https://www.tiktok.com/@nathan15085,yah baru mau beli yang  seratus mili malah kosong,Negatif,24/02/2024
,coleh70,https://www.tiktok.com/@coleh70,ini untuk kulit atau khusus pakaian?,Netral,23/02/2024
,achad_08,https://www.tiktok.com/@achad_08,"buat ketahanan nya tidak sesuai dengan deskripsi, setiap dua jam sekali harus semprot",Negatif,23/02/2024
,adminsurgawii,https://www.tiktok.com/@adminsurgawii,iya dari wangi nya sesuai sama deskripsi,Positif,23/02/2024
,mas.ardys,https://www.tiktok.com/@mas.ardys,Strong dan bold banget asli mr crush black,Positif,23/02/2024
,bangjo_1928,https://www.tiktok.com/@bangjo_1928,"botol retak, padahal di bubble wrap satu per satu",Negatif,23/02/2024
,husnulkarim_,https://www.tiktok.com/@husnulkarim_,tahan berapa jam?,Netral,23/02/2024
,sutik63,https://www.tiktok.com/@sutik63,buat cowok wangi soft kerja outdoor tahan lama apa ka,Netral,23/02/2024
,fikrimalik1,https://www.tiktok.com/@fikrimalik1,aku beli di tokopedia langsung cepet ilang wangi nya,Negatif,23/02/2024
,pangerantersesat1,https://www.tiktok.com/@pangerantersesat1,Bahan botol nya tidak berkualitas tinggi dan mudah rusak,Negatif,23/02/2024
,nama_nya_bagus,https://www.tiktok.com/@nama_nya_bagus,itu berapa ka?,Netral,23/02/2024
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,yah aku beli yang palsu ka,Negatif,23/02/2024
,obengmin03,https://www.tiktok.com/@obengmin03,kemarin beli segel rusak,Negatif,23/02/2024
,idthebest,https://www.tiktok.com/@idthebest,"kemaren beli salah toko, jadi dapet yang palsu",Negatif,23/02/2024
,lumra18,https://www.tiktok.com/@lumra18,belum percaya aku kalau ada parfum tahan nya dua belas jam,Negatif,22/02/2024
,bonev.fac66,https://www.tiktok.com/@bonev.fac66,"aku mau tanya,scentplus yang di lazada itu,asli scentplus ?",Netral,22/02/2024
,atang_mr,https://www.tiktok.com/@atang_mr,yah kalau yang asli mungkin. iklan yang asli di kirim yang palsu,Negatif,22/02/2024
,pujokipszz,https://www.tiktok.com/@pujokipszz,cek harga ka,Netral,22/02/2024
,owner_szihuka,https://www.tiktok.com/@owner_szihuka,wangi nya mirip sama minyak wangi Casablanca,Netral,22/02/2024
,konco5067,https://www.tiktok.com/@konco5067,Yah ga bisa beli karena masih belum ada dominant tiga puluh lima mili,Negatif,22/02/2024
,pecintaalam298,https://www.tiktok.com/@pecintaalam298,aku beli di sini wangi nya cuma tahan satu jam,Negatif,22/02/2024
,ariees_2403,https://www.tiktok.com/@ariees_2403,Botol parfum dominant memiliki desain yang mewah,Positif,22/02/2024
,aturanakmuiya,https://www.tiktok.com/@aturanakmuiya,untuk ketahanan dominant kalah telak lawan hrny premium dan side effect,Negatif,22/02/2024
,raihangalih,https://www.tiktok.com/@raihangalih,yang seratus mili dong,Netral,22/02/2024
,teponkae,https://www.tiktok.com/@teponkae,"Jujur untuk aroma, saya suka banget sama yang dominant",Positif,22/02/2024
,aarohman_13,https://www.tiktok.com/@aarohman_13,rekomendasi varian yang mana ka,Netral,22/02/2024
,ridho.roman.syah,https://www.tiktok.com/@ridho.roman.syah,kak parfum dominant itu buat di luar ruangan atau di dalam ruangan kak?,Netral,22/02/2024
,viaamanda28,https://www.tiktok.com/@viaamanda28,aku udah beli tapi lebih enak side effect kak kalau dominan kurang sih menurut aku,Negatif,21/02/2024
,stefanly16,https://www.tiktok.com/@stefanly16,ini asli gak ka aku udah beli beberapa kali di online tapi hasil nya tetap mengecewakan,Negatif,21/02/2024
,bosmaphack,https://www.tiktok.com/@bosmaphack,"aku pake itu malah sakit kepala,terlalu kuat aroma nya",Negatif,21/02/2024
,bangsaman_32,https://www.tiktok.com/@bangsaman_32,mahal banget harga nya,Negatif,21/02/2024
,daengmusji,https://www.tiktok.com/@daengmusji,pengiriman ke jakarta berapa lama ka,Netral,21/02/2024
