,Username,Link,Text,Human,Chat GPT (AI),Date
,ridone_337,https://www.tiktok.com/@ridone_337,saya beli parfum side effect saking enak nya di pake pengharum kamar,Positif,Positif,25/02/2024
,dagosputrabenawas,https://www.tiktok.com/@dagosputrabenawas,tahan nya dua hari saya sudah beli ka maka nya saya berani bilang gitu,Positif,Positif,25/02/2024
,athar_alenxi,https://www.tiktok.com/@athar_alenxi,buat olahraga makai varian apa ka?,Netral,Netral,25/02/2024
,gustut85,https://www.tiktok.com/@gustut85,"yakin ga wangi nya tahan dua belas jam,kalau gak berani kasih Garansi gak?",Negatif,Negatif,25/02/2024
,jodohmu2959,https://www.tiktok.com/@jodohmu2959,pernah make punya temen. Emang enak banget harum nya aku yang lumayan bau badan langsung wangi seketika,Positif,Positif,25/02/2024
,njr1301,https://www.tiktok.com/@njr1301,aku udah pernah beli yang proplayer wangi nya ga tahan lama cuma tiga sampai empat jam,Negatif,Negatif,25/02/2024
,ujokpranata,https://www.tiktok.com/@ujokpranata,jelek kualitas nya kalau pake baju putih bernoda pake parfum ini,Negatif,Negatif,25/02/2024
,ajrebellica543,https://www.tiktok.com/@ajrebellica543,Wangi nya biasa aja sih sebenar nya,Negatif,Netral,25/02/2024
,muhammadyasirsira,https://www.tiktok.com/@muhammadyasirsira,untuk beraktivitas yang cocok pake yang mana ka?,Netral,Netral,25/02/2024
,gohan_181,https://www.tiktok.com/@gohan_181,yang asli gak nih ka,Netral,Netral,25/02/2024
,bhimzueb,https://www.tiktok.com/@bhimzueb,kakak nya juga lebih tahan lama di hati aku,Positif,Positif,24/02/2024
,hilmiganteng935,https://www.tiktok.com/@hilmiganteng935,kak yang bisa menenarik cewek pake parfum apa kak hrny atau dominant,Netral,Netral,24/02/2024
,bhalink22_,https://www.tiktok.com/@bhalink22_,percobaan pertama yang cocok beli yang mana ka,Netral,Netral,24/02/2024
,lennoelfriets,https://www.tiktok.com/@lennoelfriets,Parah kalau di semprot ke baju putih jadi kuning ,Negatif,Negatif,24/02/2024
,ekvannata,https://www.tiktok.com/@ekvannata,berapa harga nya ka? ,Netral,Netral,24/02/2024
,scorpioboy669,https://www.tiktok.com/@scorpioboy669,pake alkohol ga?,Netral,Netral,24/02/2024
,mnc_petshop,https://www.tiktok.com/@mnc_petshop,gak jadi beli karena model nya jelek,Negatif,Negatif,24/02/2024
,bhmasprojeck,https://www.tiktok.com/@bhmasprojeck,coba botol nya di upgrade ka kaya dominant kan beda dari yang lain,Positif,Positif,24/02/2024
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,yah baru mau beli malah abis stok nya,Negatif,Negatif,24/02/2024
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,saran buat aktivitas siang hari dong ka,Netral,Netral,24/02/2024
,rayx_3003,https://www.tiktok.com/@rayx_3003,"mantap banget, sangat work it dengan harga segitu",Positif,Positif,24/02/2024
,mimin.mintuntilun,https://www.tiktok.com/@mimin.mintuntilun,pengemasan nya buruk banget ga ada pengaman botol nya sama sekali,Negatif,Negatif,24/02/2024
,khaleed.store,https://www.tiktok.com/@khaleed.store,mantap wangi nya scentplus,Positif,Positif,24/02/2024
,keilyyypubgm,https://www.tiktok.com/@keilyyypubgm,saran yang cocok buat cewek apa ka?,Netral,Netral,24/02/2024
,gemoystoreofficial.id,https://www.tiktok.com/@gemoystoreofficial.id,"dua sampai tiga jam ilang wangi nya, paling lama lima jam",Negatif,Negatif,24/02/2024
